frame,elbow_angle,knee_angle,back_angle,feedback
0,128.8214174344705,17.027599927064642,177.94925900920882,Straighten your arm; Do not bend your knee too much
1,129.8442863125089,11.179349766614509,179.64990210384858,Straighten your arm; Do not bend your knee too much
2,130.89300721912446,9.123148581827424,179.9182785511016,Straighten your arm; Do not bend your knee too much
3,131.9559898238698,9.148291313287915,179.98676323111232,Straighten your arm; Do not bend your knee too much
4,132.35148465850926,7.705611199728212,179.7071928801554,Straighten your arm; Do not bend your knee too much
5,133.18250219690086,6.106399127173064,179.74541225302346,Straighten your arm; Do not bend your knee too much
6,133.4642253589189,3.485334842420586,179.98114241725847,Straighten your arm; Do not bend your knee too much
7,134.0946180129377,1.8671541831994904,179.85350880000098,Straighten your arm; Do not bend your knee too much
8,134.72991804294398,0.2315975110433782,179.87781225620913,Straighten your arm; Do not bend your knee too much
9,135.45257937203206,1.043019229645872,179.56945363836851,Straighten your arm; Do not bend your knee too much
10,135.82253556129203,0.7776937682027562,179.3608660695074,Straighten your arm; Do not bend your knee too much
11,135.94267101695948,0.18728008342034627,178.809526357617,Straighten your arm; Do not bend your knee too much
12,135.74746639301657,1.2865883005501184,178.46103394813116,Straighten your arm; Do not bend your knee too much
13,135.91559880482444,4.590481150109822,178.49553558991485,Straighten your arm; Do not bend your knee too much
14,135.106616745333,4.664971754763221,178.34160985123972,Straighten your arm; Do not bend your knee too much
15,135.04401919113937,3.117356665845807,178.20764930007974,Straighten your arm; Do not bend your knee too much
16,133.58311122906997,4.502483910664368,177.7574088727673,Straighten your arm; Do not bend your knee too much
17,132.9062269551059,4.346071222605185,177.58878009752635,Straighten your arm; Do not bend your knee too much
18,132.38400588337998,4.333474412294883,177.48764775516375,Straighten your arm; Do not bend your knee too much
19,132.00161805537874,4.718453488518509,177.3736846221821,Straighten your arm; Do not bend your knee too much
20,131.62127854324478,6.122050056951017,177.12573755842942,Straighten your arm; Do not bend your knee too much
21,131.35960311190215,7.15792212949282,177.04696826462276,Straighten your arm; Do not bend your knee too much
22,131.03788441129691,8.075416520672915,176.96981588849556,Straighten your arm; Do not bend your knee too much
23,130.87202925824977,8.61780593675448,176.95988055227878,Straighten your arm; Do not bend your knee too much
24,130.8567733202459,9.164791907250656,176.96310177931696,Straighten your arm; Do not bend your knee too much
25,130.81723104283978,10.771161856554533,176.7921798323901,Straighten your arm; Do not bend your knee too much
26,130.7911610147392,11.763850737334662,176.66907987280047,Straighten your arm; Do not bend your knee too much
27,130.75268201392996,11.007679522322263,177.12592316371322,Straighten your arm; Do not bend your knee too much
28,130.71979962651076,12.48776927702136,176.8990213432807,Straighten your arm; Do not bend your knee too much
29,130.6754837175391,11.659690256680937,177.02114575585966,Straighten your arm; Do not bend your knee too much
30,130.6713849117338,10.848214749388108,177.13073793883493,Straighten your arm; Do not bend your knee too much
31,130.64175076484682,10.274647646956693,177.20060160281136,Straighten your arm; Do not bend your knee too much
32,130.64222792527357,10.26560387721894,177.1878018928467,Straighten your arm; Do not bend your knee too much
33,130.6508568528132,10.24660016697772,177.16905691945507,Straighten your arm; Do not bend your knee too much
34,130.60775431441354,10.153734307109005,177.18453940493782,Straighten your arm; Do not bend your knee too much
35,130.56508958382562,9.905320768970965,177.21497360426883,Straighten your arm; Do not bend your knee too much
36,130.5260931600305,9.754369400080835,177.22756162910383,Straighten your arm; Do not bend your knee too much
37,130.50587185669332,9.588122374001768,177.23198377100508,Straighten your arm; Do not bend your knee too much
38,130.49442153430755,9.377691412549076,177.23515573097248,Straighten your arm; Do not bend your knee too much
39,130.43029670000948,9.370431277250223,177.22416954523473,Straighten your arm; Do not bend your knee too much
40,130.39717749958305,9.256475076140022,177.22569009628933,Straighten your arm; Do not bend your knee too much
41,130.34221318250763,9.041994616650321,177.24494041718273,Straighten your arm; Do not bend your knee too much
42,130.31037397738464,8.710730896837987,177.26232253955953,Straighten your arm; Do not bend your knee too much
43,130.28034037138875,9.452004591414306,177.05527568138828,Straighten your arm; Do not bend your knee too much
44,130.24120518105863,9.738280461419027,176.97974081161308,Straighten your arm; Do not bend your knee too much
45,130.19478519069224,9.650778537296185,176.97918824123406,Straighten your arm; Do not bend your knee too much
46,130.17180458995992,9.61004213539316,176.99698700049473,Straighten your arm; Do not bend your knee too much
47,130.1390571802863,8.524468451197002,177.23779229326317,Straighten your arm; Do not bend your knee too much
48,130.1171026802816,7.85080117155112,177.40544092437784,Straighten your arm; Do not bend your knee too much
49,130.0864084842298,7.542617976144511,177.5152657007433,Straighten your arm; Do not bend your knee too much
50,130.05940733697747,7.411562579869118,177.52011005994396,Straighten your arm; Do not bend your knee too much
51,130.0449643036975,7.286288466135816,177.53614312365164,Straighten your arm; Do not bend your knee too much
52,130.01864242085003,7.224930891661801,177.5444700863978,Straighten your arm; Do not bend your knee too much
53,129.99493910127705,7.917562045020183,177.33805374432876,Straighten your arm; Do not bend your knee too much
54,129.98617796638948,8.253980111092142,177.25262888471912,Straighten your arm; Do not bend your knee too much
55,129.97993661852715,8.39797083510981,177.20653106347618,Straighten your arm; Do not bend your knee too much
56,129.9742451534232,8.624010624059597,177.15520124238668,Straighten your arm; Do not bend your knee too much
57,129.97225001395506,8.621025329058508,177.15515821906672,Straighten your arm; Do not bend your knee too much
58,129.9658162555489,7.923571629838548,177.3403588259178,Straighten your arm; Do not bend your knee too much
59,129.96244999098917,7.487151634044947,177.45342509843366,Straighten your arm; Do not bend your knee too much
60,129.95993145698202,7.290486923629562,177.49069117577446,Straighten your arm; Do not bend your knee too much
61,129.95824819666964,7.117534821221819,177.52903480111274,Straighten your arm; Do not bend your knee too much
62,129.95800802696084,7.012306587116853,177.551124509835,Straighten your arm; Do not bend your knee too much
63,129.9693789123188,6.9040116671326555,177.5771941242039,Straighten your arm; Do not bend your knee too much
64,129.9732308856748,6.859622200749937,177.5816471677531,Straighten your arm; Do not bend your knee too much
65,129.98686945827512,6.775813739018691,177.60214784859932,Straighten your arm; Do not bend your knee too much
66,129.98560795013,6.780212616550606,177.5958061089825,Straighten your arm; Do not bend your knee too much
67,129.99649398224557,6.719697367463419,177.593445922206,Straighten your arm; Do not bend your knee too much
68,130.0177808720647,6.666524649423412,177.58934660867428,Straighten your arm; Do not bend your knee too much
69,130.03169525931463,6.602630000391791,177.59181675224292,Straighten your arm; Do not bend your knee too much
70,130.0582777638286,6.5483913978322965,177.58544077726546,Straighten your arm; Do not bend your knee too much
71,130.08357000467615,6.449218980451397,177.58178017237492,Straighten your arm; Do not bend your knee too much
72,130.0974273930829,6.3950259841111965,177.57189949562752,Straighten your arm; Do not bend your knee too much
73,130.11070718243326,6.29292423660258,177.57110623835965,Straighten your arm; Do not bend your knee too much
74,130.12852131907496,6.200606189606229,177.56180288646934,Straighten your arm; Do not bend your knee too much
75,130.14529055679023,6.077568368287823,177.55895945143723,Straighten your arm; Do not bend your knee too much
76,130.1581668831754,6.0256218235369525,177.5536127104074,Straighten your arm; Do not bend your knee too much
77,130.16602372975967,5.947877798616313,177.5527955699679,Straighten your arm; Do not bend your knee too much
78,130.17414356182618,6.502809703121153,177.31473225357027,Straighten your arm; Do not bend your knee too much
79,130.1784034502201,6.781471642107057,177.19795722187678,Straighten your arm; Do not bend your knee too much
80,130.18305407138286,6.933511493057597,177.1191734766733,Straighten your arm; Do not bend your knee too much
81,130.19185465951443,6.971257282139357,177.10205641682703,Straighten your arm; Do not bend your knee too much
82,130.1947965618418,7.020713710339651,177.0691103577015,Straighten your arm; Do not bend your knee too much
83,130.19829167796266,7.018366702935957,177.05737938055566,Straighten your arm; Do not bend your knee too much
84,130.99517871297257,6.25469234560526,176.80837303383302,Straighten your arm; Do not bend your knee too much
85,131.3596583878611,6.087952169223723,176.61669005389257,Straighten your arm; Do not bend your knee too much
86,131.75965088175028,6.034384610916769,176.53183334042467,Straighten your arm; Do not bend your knee too much
87,131.97989020315762,5.935693391839213,176.48293852519456,Straighten your arm; Do not bend your knee too much
88,132.14196599974863,5.802839031461223,176.5671588973876,Straighten your arm; Do not bend your knee too much
89,132.29998409847647,5.5261251047763,176.64420899356023,Straighten your arm; Do not bend your knee too much
90,132.48256369790957,2.127461584350664,179.4252847355645,Straighten your arm; Do not bend your knee too much
91,132.55608855697213,3.127222150693634,178.814879607392,Straighten your arm; Do not bend your knee too much
92,132.60492495839037,3.9624965895339086,178.2423253912153,Straighten your arm; Do not bend your knee too much
93,132.6507554470042,4.360288999019858,177.89284305298062,Straighten your arm; Do not bend your knee too much
94,132.72064209843617,4.40724349163064,177.8236437265312,Straighten your arm; Do not bend your knee too much
95,132.73152888014792,4.456075524618085,177.7643115320793,Straighten your arm; Do not bend your knee too much
96,132.71095283214734,4.423311245714134,177.76487421150003,Straighten your arm; Do not bend your knee too much
97,132.7446246521161,4.369028479175308,177.76932272000616,Straighten your arm; Do not bend your knee too much
98,132.70109270473503,4.413164345917613,177.70606971639043,Straighten your arm; Do not bend your knee too much
99,132.68245651209804,4.558784160417564,177.6201120375746,Straighten your arm; Do not bend your knee too much
100,132.6518026467548,4.713782908923404,177.51825056274274,Straighten your arm; Do not bend your knee too much
101,132.650832334509,4.787271162362612,177.49155971607158,Straighten your arm; Do not bend your knee too much
102,132.64316771091615,4.820550289626297,177.46662165033078,Straighten your arm; Do not bend your knee too much
103,132.65362989429997,4.8717356716361735,177.457674300251,Straighten your arm; Do not bend your knee too much
104,132.64285300033927,4.872106674698374,177.47633922317934,Straighten your arm; Do not bend your knee too much
105,132.6406143275758,4.89472550123893,177.48473482407638,Straighten your arm; Do not bend your knee too much
106,132.41542195767488,5.261521890718267,177.5168737016961,Straighten your arm; Do not bend your knee too much
107,132.26791371863888,7.137727500685346,177.45660028014882,Straighten your arm; Do not bend your knee too much
108,130.2672861478206,8.94817716866078,177.6485800168495,Straighten your arm; Do not bend your knee too much
